epoch,train_loss,train_acc,test_loss,test_acc
1,3.937014514,0.095700003,3.500455804,0.160999998
2,3.326615393,0.192000002,3.069294868,0.247500002
3,2.792581988,0.292100012,2.497914678,0.350699991
4,2.397819016,0.374040008,2.343845227,0.392100006
5,2.139092248,0.430339992,2.089192887,0.440499991
6,1.936663851,0.477899998,1.985241908,0.461299986
7,1.846263425,0.505500019,1.940088966,0.481299996
8,1.701730918,0.540080011,2.046055554,0.462599993
9,1.67293543,0.547540009,2.048733882,0.457800001
10,1.615836378,0.563180029,1.780271562,0.525099993
11,1.551861051,0.578800023,1.713534872,0.541199982
12,1.498464804,0.592239976,1.802415527,0.525699973
13,1.504360005,0.59394002,1.700685451,0.548099995
14,1.429863189,0.611699998,1.64976337,0.550400019
15,1.392315018,0.618139982,1.754585416,0.541000009
16,1.375969046,0.622659981,1.676588476,0.555299997
17,1.368989006,0.627520025,1.656160698,0.555899978
18,1.363606877,0.627820015,1.609131361,0.565500021
19,1.311412589,0.637839973,1.692919213,0.551999986
20,1.336976942,0.636200011,1.68586745,0.555700004
21,1.313143115,0.644200027,1.782246498,0.543299973
22,1.250594389,0.651499987,1.571534015,0.579299986
23,1.273153731,0.654500008,1.642374957,0.556299984
24,1.255884355,0.652800024,1.588578438,0.582099974
25,1.275824682,0.654460013,2.097894895,0.488099992
26,1.250335007,0.658819973,1.688973914,0.558600008
27,1.264379214,0.655040026,1.563231153,0.577400029
28,1.224695062,0.666840017,1.686278484,0.5625
29,1.242204159,0.659259975,1.751832507,0.552699983
30,1.239539057,0.662119985,1.719335198,0.560100019
31,1.210069615,0.663439989,1.658202032,0.56309998
32,1.252170728,0.661880016,1.556997881,0.585500002
33,1.212196996,0.669560015,1.44925018,0.60619998
34,1.237584295,0.663320005,1.575897686,0.58069998
35,1.202744821,0.674719989,1.49734118,0.602599978
36,1.165190776,0.677999973,1.622235303,0.575299978
37,1.273859726,0.660220027,1.489110976,0.600499988
38,1.155887866,0.682299972,1.853650869,0.540799975
39,1.238702948,0.667140007,1.764555584,0.547399998
40,1.207895246,0.66644001,1.450280541,0.608900011
41,0.761612339,0.795939982,0.978853077,0.730199993
42,0.659058971,0.822660029,1.001860959,0.719299972
43,0.570394411,0.849420011,1.002191982,0.725499988
44,0.570111479,0.847060025,1.04590716,0.716700017
45,0.605902342,0.844879985,1.149464938,0.691299975
46,0.595287628,0.842159986,1.132695549,0.695800006
47,0.588960419,0.849479973,1.17618488,0.689300001
48,0.606858292,0.839060009,1.253935662,0.680599988
49,0.580001039,0.843240023,1.206211452,0.685800016
50,0.59316933,0.847239971,1.217841845,0.67900002
51,0.574878893,0.851320028,1.240014221,0.683399975
52,0.625816752,0.840399981,1.343387592,0.663500011
53,0.589809338,0.843640029,1.250668623,0.676299989
54,0.587124419,0.840799987,1.233808943,0.689800024
