epoch,train_loss,train_acc,test_loss,test_acc
1,3.860954445,0.11206,3.418839504,0.178000003
2,3.01000319,0.24868,2.891518938,0.276300013
3,2.375700112,0.37288,2.387798288,0.386000007
4,1.92833118,0.47238,1.962184802,0.468800008
5,1.632087024,0.54172,1.87435726,0.488400012
6,1.408971757,0.59514,1.980051181,0.479099989
7,1.243702559,0.63982,1.771215245,0.531000018
8,1.088523146,0.67786,1.979400872,0.494100004
9,0.969784753,0.71154,1.918010004,0.503799975
10,0.871947674,0.73872,2.04910792,0.496600002
11,0.774117532,0.76594,2.030627171,0.500999987
12,0.714701933,0.78248,2.125698264,0.4903
13,0.657640207,0.79988,2.211226138,0.488999993
14,0.611937439,0.81302,2.223834808,0.488299996
15,0.578217369,0.82404,2.16529369,0.503300011
16,0.552547596,0.8302,2.322704254,0.479000002
17,0.542304825,0.83368,2.237100101,0.493699998
18,0.510040492,0.84612,2.216457706,0.504000008
19,0.513115866,0.8431,2.218460141,0.500400007
20,0.493562096,0.84972,2.314630473,0.484600008
21,0.49786473,0.8488,2.356480109,0.485900015
22,0.478661335,0.85234,2.597490095,0.453099996
23,0.471407582,0.85688,2.309600689,0.475600004
24,0.461288735,0.86,2.241341661,0.495400012
25,0.482474624,0.85226,2.30816064,0.49149999
26,0.443296778,0.86632,2.293172745,0.501999974
27,0.468433722,0.85764,2.375278072,0.471399993
28,0.448544402,0.8645,2.482925042,0.483700007
29,0.447614696,0.86504,2.379638238,0.468800008
30,0.460362007,0.86014,2.389684486,0.481299996
31,0.429792088,0.87004,2.39394566,0.486699998
32,0.454902679,0.86282,2.325043856,0.495099992
33,0.422625866,0.87214,2.618660412,0.460000008
34,0.452035806,0.8642,2.597487256,0.469300002
35,0.449921776,0.86292,2.432804948,0.492199987
36,0.410210637,0.875,2.216478881,0.488599986
37,0.443115222,0.86756,2.497371999,0.466100007
38,0.441832555,0.86638,2.444776352,0.480300009
39,0.422835968,0.87282,2.565728704,0.477299988
40,0.431450722,0.87144,2.335376298,0.483099997
41,0.107327772,0.97378,1.573799379,0.611599982
42,0.016628217,0.99898,1.508421566,0.623300016
43,0.010985853,0.99948,1.484780764,0.624499977
44,0.010725341,0.99946,1.46934295,0.629700005
45,0.01069575,0.99952,1.459898709,0.630299985
46,0.010488858,0.9996,1.45852083,0.631900012
47,0.010458836,0.99964,1.467213097,0.630800009
48,0.010294347,0.9997,1.476952068,0.628400028
49,0.010081733,0.9997,1.482858991,0.629199982
50,0.010143862,0.99968,1.505374322,0.629599988
51,0.010093494,0.99964,1.517749233,0.628199995
52,0.01033282,0.99956,1.538548554,0.628099978
53,0.010001119,0.99952,1.550789832,0.626800001
54,0.009696611,0.9996,1.572735201,0.626999974
55,0.009389477,0.9997,1.582127255,0.629100025
56,0.009282919,0.9997,1.606754363,0.627499998
57,0.009978693,0.99962,1.619445069,0.626399994
58,0.009845751,0.99958,1.661240315,0.621500015
59,0.010102003,0.9996,1.639328108,0.627399981
60,0.585162314,0.84294,2.159711885,0.466500014
61,0.669643013,0.8097,1.981723619,0.523800015
62,0.217487012,0.94138,2.039576294,0.544700027
63,0.090640469,0.97908,1.861974843,0.568000019
64,0.051006174,0.99004,1.760383863,0.589399993
65,0.021465437,0.99742,1.639409165,0.606400013
66,0.009921517,0.9994,1.543699717,0.625
67,0.007572643,0.99944,1.486819175,0.635299981
68,0.006938356,0.9995,1.488969648,0.637199998
69,0.007058492,0.99954,1.486965801,0.639400005
70,0.007328934,0.9996,1.51145244,0.640699983
71,0.008070253,0.9996,1.52144558,0.640200019
72,0.008076548,0.99968,1.55012511,0.637700021
73,0.008832037,0.9996,1.566127507,0.639500022
74,0.008858907,0.99964,1.572412913,0.639299989
75,0.010248877,0.99948,1.676633606,0.611699998
76,0.904474268,0.75528,2.176862266,0.470800012
77,0.731038301,0.79164,1.904694519,0.539099991
78,0.268998291,0.92468,2.172455117,0.513199985
79,0.146280611,0.96148,1.979420942,0.558200002
80,0.075510338,0.98232,1.813551018,0.581200004
81,0.019923997,0.99766,1.585915854,0.619300008
82,0.006851199,0.9996,1.56462791,0.62349999
83,0.005362073,0.99968,1.548649288,0.625100017
84,0.00485581,0.9997,1.539914478,0.624300003
85,0.004679712,0.99966,1.525912419,0.626999974
86,0.004812702,0.99962,1.515709169,0.626699984
87,0.004854563,0.9997,1.512412695,0.628099978
88,0.005003252,0.99968,1.505754888,0.628799975
89,0.005091928,0.99966,1.506316856,0.630500019
90,0.005339634,0.9997,1.501145589,0.630999982
91,0.005436418,0.99972,1.508899945,0.629700005
92,0.005559413,0.99972,1.502923519,0.631200016
93,0.005777428,0.9997,1.50527362,0.630299985
94,0.006024525,0.99968,1.505829787,0.632499993
95,0.006158694,0.99968,1.513282394,0.631200016
96,0.006157904,0.99978,1.521200567,0.631399989
97,0.006437646,0.9997,1.523305694,0.631600022
98,0.006558297,0.99968,1.527013377,0.631699979
99,0.006740169,0.9997,1.532577998,0.634299994
100,0.006738321,0.99974,1.53741141,0.633400023
101,0.006776854,0.99974,1.547745063,0.632300019
102,0.006896781,0.99982,1.552144738,0.633000016
103,0.007044774,0.9997,1.557178415,0.633700013
104,0.006882475,0.9998,1.567572421,0.6329
105,0.007157029,0.9997,1.57173051,0.63410002
106,0.00731901,0.99966,1.578060977,0.632099986
107,0.007212752,0.99972,1.584441268,0.633599997
108,0.007296127,0.99978,1.591645559,0.6347
109,0.007318694,0.99974,1.602807438,0.635100007
110,0.007264157,0.99978,1.606124155,0.632600009
111,0.007315139,0.99974,1.615269791,0.634000003
112,0.00753161,0.9997,1.620116241,0.633400023
113,0.007427005,0.99976,1.62347865,0.634899974
114,0.007495462,0.99974,1.638065566,0.630400002
115,0.007481055,0.99974,1.642350429,0.633099973
116,0.007388735,0.99978,1.643399119,0.633899987
117,0.00751245,0.9997,1.652722191,0.631799996
118,0.007486368,0.9997,1.659909617,0.632700026
119,0.00726162,0.99976,1.664447373,0.631900012
120,0.007482741,0.99972,1.668929432,0.632799983
121,0.007226362,0.9998,1.672061815,0.632799983
122,0.007297408,0.99978,1.671147975,0.63349998
123,0.007066002,0.99978,1.677188494,0.633099973
124,0.007032217,0.99976,1.680395921,0.63349998
125,0.007087269,0.99978,1.683947643,0.631799996
126,0.007149801,0.99976,1.683543317,0.631500006
127,0.007069714,0.99976,1.692400478,0.629899979
128,0.00698134,0.9998,1.689163003,0.633099973
129,0.007085231,0.99972,1.693277784,0.632000029
130,0.00708075,0.9998,1.69920991,0.631500006
131,0.007065682,0.99976,1.698455696,0.632099986
132,0.007141847,0.99972,1.696013607,0.632700026
133,0.007084318,0.99976,1.699341554,0.631900012
134,0.007086174,0.99978,1.703006006,0.630800009
135,0.007114763,0.99976,1.70758062,0.631699979
136,0.007179417,0.9997,1.707383957,0.629899979
137,0.007208344,0.99972,1.709423681,0.631699979
138,0.007139338,0.99984,1.706759931,0.631799996
139,0.007161905,0.99976,1.710300551,0.632499993
140,0.007271557,0.99976,1.717217137,0.630299985
141,0.007058993,0.99978,1.715666025,0.630699992
142,0.007274316,0.99974,1.720186101,0.629599988
143,0.007274341,0.99972,1.717318825,0.629000008
144,0.00724408,0.9998,1.723994645,0.629899979
145,0.007308163,0.99982,1.725814139,0.629700005
146,0.007225531,0.99972,1.729826776,0.631299973
147,0.007183208,0.99978,1.728670887,0.631299973
148,0.007210114,0.99976,1.73304477,0.631500006
149,0.007266651,0.9998,1.729410555,0.628799975
150,0.007254388,0.99986,1.730353661,0.631200016
151,0.007234327,0.99978,1.7367483,0.630100012
152,0.007133684,0.99984,1.737281277,0.628799975
153,0.007253113,0.99974,1.73731783,0.632399976
154,0.007298692,0.99976,1.739988625,0.628899992
155,0.007292793,0.9998,1.739182636,0.631299973
156,0.007203041,0.99982,1.742123726,0.630800009
157,0.007228609,0.99974,1.745567143,0.628700018
158,0.007248437,0.99974,1.748121916,0.629700005
159,0.007271094,0.99982,1.744218249,0.629899979
160,0.007260345,0.9998,1.750902682,0.631200016
161,0.007266331,0.99982,1.750582625,0.629700005
162,0.007186983,0.99982,1.749904578,0.630500019
163,0.007111758,0.99982,1.753637606,0.629599988
164,0.007143953,0.99978,1.752282479,0.630599976
165,0.007056753,0.99982,1.755064925,0.631299973
166,0.007158055,0.9998,1.750058399,0.631500006
167,0.007139367,0.9998,1.755943989,0.628600001
168,0.007144846,0.9998,1.753488185,0.628499985
169,0.007141369,0.99984,1.753773183,0.629999995
170,0.007172764,0.99974,1.759537298,0.630500019
171,0.007108655,0.9998,1.758349125,0.628400028
172,0.00696611,0.99988,1.759150464,0.629299998
173,0.007114645,0.99974,1.758726186,0.629199982
174,0.007105779,0.9998,1.75995481,0.630999982
175,0.006951007,0.99986,1.763679588,0.629899979
176,0.007134822,0.99982,1.760019703,0.631399989
177,0.007070894,0.99976,1.763586948,0.629599988
178,0.007096346,0.99986,1.764126652,0.629599988
179,0.007082109,0.99974,1.764372243,0.630200028
180,0.007200799,0.99974,1.761145457,0.629800022
181,0.007213885,0.99972,1.761142864,0.628499985
182,0.006986322,0.99982,1.762879826,0.628899992
183,0.007052571,0.9998,1.762642371,0.629299998
